UF;Codigo da Infracao;Quantidade
RIO GRANDE DO SUL;5290;3
SANTA CATARINA;5290;15
SAO PAULO;5290;3
SERGIPE;5290;1
AMAPA;5304;1
ESPIRITO SANTO;5304;4
GOIAS;5304;3
MATO GROSSO;5304;10
MINAS GERAIS;5304;29
PARAIBA;5304;1
PARANA;5304;4
PERNAMBUCO;5304;2
RIO GRANDE DO NORTE;5304;2
RIO GRANDE DO SUL;5304;1
SANTA CATARINA;5304;10
SAO PAULO;5304;11
SERGIPE;5304;1
MATO GROSSO;5312;1
PARA;5312;1
RIO GRANDE DO NORTE;5312;1
SAO PAULO;5312;2
ACRE;5320;1
ALAGOAS;5320;2
BAHIA;5320;1
CEARA;5320;2
ESPIRITO SANTO;5320;5
GOIAS;5320;3
MATO GROSSO DO SUL;5320;4
MINAS GERAIS;5320;19
PARA;5320;1
PARANA;5320;6
PERNAMBUCO;5320;4
RIO DE JANEIRO;5320;1
RIO GRANDE DO NORTE;5320;3
RIO GRANDE DO SUL;5320;1
RORAIMA;5320;1
SANTA CATARINA;5320;25
SAO PAULO;5320;14
GOIAS;5339;1
RIO DE JANEIRO;5339;1
ACRE;5347;1
AMAZONAS;5347;1
BAHIA;5347;4
CEARA;5347;3
DISTRITO FEDERAL;5347;1
ESPIRITO SANTO;5347;3
GOIAS;5347;5
MATO GROSSO DO SUL;5347;1
MINAS GERAIS;5347;19
PARAIBA;5347;2
PARANA;5347;13
PERNAMBUCO;5347;5
RIO DE JANEIRO;5347;4
RIO GRANDE DO NORTE;5347;1
RIO GRANDE DO SUL;5347;34
SANTA CATARINA;5347;23
SAO PAULO;5347;18
SERGIPE;5347;4
TOCANTINS;5347;1
DISTRITO FEDERAL;5355;1
GOIAS;5355;1
MINAS GERAIS;5355;2
PARANA;5355;3
SANTA CATARINA;5355;1
SAO PAULO;5355;8
BAHIA;5363;1
MINAS GERAIS;5363;2
PARA;5363;2
PARANA;5363;1
RIO DE JANEIRO;5363;4
SANTA CATARINA;5363;1
SAO PAULO;5363;2
ALAGOAS;5371;1
AMAZONAS;5371;10
AMAPA;5371;1
BAHIA;5371;5
CEARA;5371;4
DISTRITO FEDERAL;5371;7
ESPIRITO SANTO;5371;3
GOIAS;5371;12
MARANHAO;5371;4
MATO GROSSO;5371;3
MATO GROSSO DO SUL;5371;1
MINAS GERAIS;5371;40
PARA;5371;1
PARAIBA;5371;2
PARANA;5371;7
PERNAMBUCO;5371;4
RIO DE JANEIRO;5371;4
RIO GRANDE DO NORTE;5371;1
RIO GRANDE DO SUL;5371;17
RONDONIA;5371;1
SANTA CATARINA;5371;12
SAO PAULO;5371;223
SERGIPE;5371;1
ACRE;5380;6
ALAGOAS;5380;129
AMAZONAS;5380;190
AMAPA;5380;9
BAHIA;5380;474
CEARA;5380;597
DISTRITO FEDERAL;5380;293
ESPIRITO SANTO;5380;60
GOIAS;5380;2741
MARANHAO;5380;101
MATO GROSSO;5380;156
MATO GROSSO DO SUL;5380;64
MINAS GERAIS;5380;993
PARA;5380;264
PARAIBA;5380;123
PARANA;5380;348
PERNAMBUCO;5380;452
PIAUI;5380;256
RIO DE JANEIRO;5380;1516
RIO GRANDE DO NORTE;5380;367
RIO GRANDE DO SUL;5380;193
RONDONIA;5380;35
RORAIMA;5380;11
SANTA CATARINA;5380;609
SAO PAULO;5380;5008
SERGIPE;5380;109
TOCANTINS;5380;39
ACRE;5398;1
ALAGOAS;5398;3
AMAZONAS;5398;6
BAHIA;5398;47
CEARA;5398;15
DISTRITO FEDERAL;5398;14
ESPIRITO SANTO;5398;5
GOIAS;5398;45
MARANHAO;5398;3
MATO GROSSO;5398;10
MATO GROSSO DO SUL;5398;1
MINAS GERAIS;5398;89
PARA;5398;4
PARAIBA;5398;4
PARANA;5398;22
PERNAMBUCO;5398;8
PIAUI;5398;3
RIO DE JANEIRO;5398;48
RIO GRANDE DO NORTE;5398;15
RIO GRANDE DO SUL;5398;62
RONDONIA;5398;4
SANTA CATARINA;5398;42
SAO PAULO;5398;243
SERGIPE;5398;2
TOCANTINS;5398;1
ACRE;5401;1
ALAGOAS;5401;8
AMAZONAS;5401;58
AMAPA;5401;2
BAHIA;5401;219
CEARA;5401;170
DISTRITO FEDERAL;5401;17
ESPIRITO SANTO;5401;19
GOIAS;5401;89
MARANHAO;5401;20
MATO GROSSO;5401;11
MATO GROSSO DO SUL;5401;14
MINAS GERAIS;5401;217
PARA;5401;20
PARAIBA;5401;80
PARANA;5401;40
PERNAMBUCO;5401;24
PIAUI;5401;57
RIO DE JANEIRO;5401;23
RIO GRANDE DO NORTE;5401;204
RIO GRANDE DO SUL;5401;82
RONDONIA;5401;8
RORAIMA;5401;4
SANTA CATARINA;5401;35
SAO PAULO;5401;474
SERGIPE;5401;15
TOCANTINS;5401;3
ACRE;5410;1
ALAGOAS;5410;11
AMAZONAS;5410;219
AMAPA;5410;14
BAHIA;5410;63
CEARA;5410;96
DISTRITO FEDERAL;5410;275
ESPIRITO SANTO;5410;28
GOIAS;5410;700
MARANHAO;5410;20
MATO GROSSO;5410;67
MATO GROSSO DO SUL;5410;47
MINAS GERAIS;5410;324
PARA;5410;94
PARAIBA;5410;33
PARANA;5410;61
PERNAMBUCO;5410;172
PIAUI;5410;34
RIO DE JANEIRO;5410;698
RIO GRANDE DO NORTE;5410;166
RIO GRANDE DO SUL;5410;60
RONDONIA;5410;42
RORAIMA;5410;11
SANTA CATARINA;5410;136
SAO PAULO;5410;905
SERGIPE;5410;16
TOCANTINS;5410;15
ACRE;5428;4
ALAGOAS;5428;4
AMAZONAS;5428;6
AMAPA;5428;51
BAHIA;5428;46
CEARA;5428;18
DISTRITO FEDERAL;5428;70
ESPIRITO SANTO;5428;48
GOIAS;5428;194
MARANHAO;5428;6
MATO GROSSO;5428;16
MATO GROSSO DO SUL;5428;23
MINAS GERAIS;5428;170
PARA;5428;24
PARAIBA;5428;9
PARANA;5428;86
PERNAMBUCO;5428;152
PIAUI;5428;7
RIO DE JANEIRO;5428;319
RIO GRANDE DO NORTE;5428;37
RIO GRANDE DO SUL;5428;55
RONDONIA;5428;6
RORAIMA;5428;1
SANTA CATARINA;5428;165
SAO PAULO;5428;429
SERGIPE;5428;2
TOCANTINS;5428;1
AMAZONAS;5436;1
BAHIA;5436;9
CEARA;5436;1
DISTRITO FEDERAL;5436;4
ESPIRITO SANTO;5436;2
GOIAS;5436;21
MATO GROSSO DO SUL;5436;6
MINAS GERAIS;5436;26
PARA;5436;1
PARANA;5436;5
PERNAMBUCO;5436;1
PIAUI;5436;1
RIO DE JANEIRO;5436;15
RIO GRANDE DO SUL;5436;4
SANTA CATARINA;5436;26
SAO PAULO;5436;95
TOCANTINS;5436;50
ALAGOAS;5444;9
AMAZONAS;5444;5
AMAPA;5444;1
BAHIA;5444;40
CEARA;5444;4
DISTRITO FEDERAL;5444;88
ESPIRITO SANTO;5444;7
GOIAS;5444;246
MARANHAO;5444;6
MATO GROSSO;5444;2
MATO GROSSO DO SUL;5444;9
MINAS GERAIS;5444;279
PARA;5444;19
PARAIBA;5444;4
PARANA;5444;64
PERNAMBUCO;5444;24
PIAUI;5444;11
RIO DE JANEIRO;5444;101
RIO GRANDE DO NORTE;5444;1
RIO GRANDE DO SUL;5444;54
RORAIMA;5444;3
SANTA CATARINA;5444;435
SAO PAULO;5444;832
SERGIPE;5444;2
TOCANTINS;5444;6
ACRE;5452;61
ALAGOAS;5452;544
AMAZONAS;5452;1001
AMAPA;5452;124
BAHIA;5452;3259
CEARA;5452;5430
DISTRITO FEDERAL;5452;1866
ESPIRITO SANTO;5452;973
GOIAS;5452;13188
MARANHAO;5452;488
MATO GROSSO;5452;1071
MATO GROSSO DO SUL;5452;524
MINAS GERAIS;5452;7019
PARA;5452;898
PARAIBA;5452;2017
PARANA;5452;2654
PERNAMBUCO;5452;4603
PIAUI;5452;975
RIO DE JANEIRO;5452;15532
RIO GRANDE DO NORTE;5452;1915
RIO GRANDE DO SUL;5452;1922
RONDONIA;5452;123
RORAIMA;5452;59
SANTA CATARINA;5452;2895
SAO PAULO;5452;26559
SERGIPE;5452;287
TOCANTINS;5452;178
ACRE;5460;9
ALAGOAS;5460;72
AMAZONAS;5460;80
AMAPA;5460;6
BAHIA;5460;334
CEARA;5460;129
DISTRITO FEDERAL;5460;71
ESPIRITO SANTO;5460;132
GOIAS;5460;552
MARANHAO;5460;23
MATO GROSSO;5460;78
MATO GROSSO DO SUL;5460;100
MINAS GERAIS;5460;1141
PARA;5460;47
PARAIBA;5460;167
PARANA;5460;608
PERNAMBUCO;5460;470
PIAUI;5460;50
RIO DE JANEIRO;5460;666
RIO GRANDE DO NORTE;5460;219
RIO GRANDE DO SUL;5460;538
RONDONIA;5460;19
RORAIMA;5460;14
SANTA CATARINA;5460;628
SAO PAULO;5460;4337
SERGIPE;5460;40
TOCANTINS;5460;17
ACRE;5479;5
ALAGOAS;5479;31
AMAZONAS;5479;201
AMAPA;5479;78
BAHIA;5479;1485
CEARA;5479;281
DISTRITO FEDERAL;5479;272
ESPIRITO SANTO;5479;50
GOIAS;5479;156
MARANHAO;5479;50
MATO GROSSO;5479;17
MATO GROSSO DO SUL;5479;13
MINAS GERAIS;5479;249
PARA;5479;27
PARAIBA;5479;225
PARANA;5479;115
PERNAMBUCO;5479;434
PIAUI;5479;68
RIO DE JANEIRO;5479;623
RIO GRANDE DO NORTE;5479;782
RIO GRANDE DO SUL;5479;52
RONDONIA;5479;9
RORAIMA;5479;14
SANTA CATARINA;5479;112
SAO PAULO;5479;353
SERGIPE;5479;52
TOCANTINS;5479;8
ACRE;5487;11
ALAGOAS;5487;287
AMAZONAS;5487;885
AMAPA;5487;118
BAHIA;5487;1117
CEARA;5487;777
DISTRITO FEDERAL;5487;163
ESPIRITO SANTO;5487;208
GOIAS;5487;1886
MARANHAO;5487;130
MATO GROSSO;5487;196
MATO GROSSO DO SUL;5487;205
MINAS GERAIS;5487;1564
PARA;5487;554
PARAIBA;5487;774
PARANA;5487;364
PERNAMBUCO;5487;1180
PIAUI;5487;823
RIO DE JANEIRO;5487;1456
RIO GRANDE DO NORTE;5487;752
RIO GRANDE DO SUL;5487;360
RONDONIA;5487;69
RORAIMA;5487;52
SANTA CATARINA;5487;297
SAO PAULO;5487;4975
SERGIPE;5487;96
TOCANTINS;5487;46
ALAGOAS;5495;1
AMAZONAS;5495;19
AMAPA;5495;2
BAHIA;5495;3
CEARA;5495;20
DISTRITO FEDERAL;5495;17
ESPIRITO SANTO;5495;27
GOIAS;5495;89
MARANHAO;5495;8
MATO GROSSO DO SUL;5495;5
MINAS GERAIS;5495;28
PARA;5495;9
PARAIBA;5495;5
PARANA;5495;15
PERNAMBUCO;5495;9
PIAUI;5495;25
RIO DE JANEIRO;5495;17
RIO GRANDE DO NORTE;5495;16
RIO GRANDE DO SUL;5495;4
RONDONIA;5495;1
RORAIMA;5495;3
SANTA CATARINA;5495;4
SAO PAULO;5495;132
ACRE;5509;1
ALAGOAS;5509;88
AMAZONAS;5509;52
AMAPA;5509;16
BAHIA;5509;315
CEARA;5509;145
DISTRITO FEDERAL;5509;60
ESPIRITO SANTO;5509;121
GOIAS;5509;183
MARANHAO;5509;48
