UF;Codigo da Infraçcao;Quantidade
RIO GRANDE DO NORTE;5096;1
RIO GRANDE DO SUL;5096;47
SANTA CATARINA;5096;38
SAO PAULO;5096;62
AMAZONAS;5100;2
BAHIA;5100;1
CEARA;5100;18
GOIAS;5100;1
MATO GROSSO;5100;1
MINAS GERAIS;5100;4
PARAIBA;5100;1
PARANA;5100;1
PERNAMBUCO;5100;1
RIO GRANDE DO SUL;5100;3
SERGIPE;5100;1
ACRE;5118;266
ALAGOAS;5118;79
AMAZONAS;5118;172
AMAPA;5118;43
BAHIA;5118;147
CEARA;5118;1702
DISTRITO FEDERAL;5118;50
ESPIRITO SANTO;5118;543
GOIAS;5118;123
MARANHAO;5118;12
MATO GROSSO;5118;36
MATO GROSSO DO SUL;5118;231
MINAS GERAIS;5118;976
PARA;5118;72
PARAIBA;5118;97
PARANA;5118;1557
PERNAMBUCO;5118;391
PIAUI;5118;20
RIO DE JANEIRO;5118;97
RIO GRANDE DO NORTE;5118;30
RIO GRANDE DO SUL;5118;1329
RONDONIA;5118;107
RORAIMA;5118;10
SANTA CATARINA;5118;798
SAO PAULO;5118;1916
SERGIPE;5118;14
TOCANTINS;5118;8
ACRE;5126;3
ALAGOAS;5126;1
AMAZONAS;5126;1
AMAPA;5126;1
BAHIA;5126;1
CEARA;5126;13
DISTRITO FEDERAL;5126;2
ESPIRITO SANTO;5126;42
MARANHAO;5126;1
MATO GROSSO;5126;1
MATO GROSSO DO SUL;5126;10
MINAS GERAIS;5126;34
PARAIBA;5126;2
PARANA;5126;156
PERNAMBUCO;5126;1
RIO DE JANEIRO;5126;7
RIO GRANDE DO SUL;5126;201
SANTA CATARINA;5126;67
SAO PAULO;5126;159
ACRE;5134;11
AMAZONAS;5134;3
AMAPA;5134;1
BAHIA;5134;3
CEARA;5134;90
DISTRITO FEDERAL;5134;1
ESPIRITO SANTO;5134;10
GOIAS;5134;7
MATO GROSSO;5134;2
MATO GROSSO DO SUL;5134;6
MINAS GERAIS;5134;72
PARAIBA;5134;3
PARANA;5134;50
PERNAMBUCO;5134;11
PIAUI;5134;3
RIO DE JANEIRO;5134;3
RIO GRANDE DO NORTE;5134;4
RIO GRANDE DO SUL;5134;82
RONDONIA;5134;2
SANTA CATARINA;5134;22
SAO PAULO;5134;74
SERGIPE;5134;1
ACRE;5142;79
ALAGOAS;5142;6
AMAZONAS;5142;4
AMAPA;5142;7
BAHIA;5142;21
CEARA;5142;415
DISTRITO FEDERAL;5142;16
ESPIRITO SANTO;5142;47
GOIAS;5142;37
MARANHAO;5142;3
MATO GROSSO;5142;2
MATO GROSSO DO SUL;5142;27
MINAS GERAIS;5142;124
PARA;5142;9
PARAIBA;5142;7
PARANA;5142;169
PERNAMBUCO;5142;50
PIAUI;5142;7
RIO DE JANEIRO;5142;11
RIO GRANDE DO NORTE;5142;8
RIO GRANDE DO SUL;5142;176
RONDONIA;5142;21
SANTA CATARINA;5142;201
SAO PAULO;5142;499
TOCANTINS;5142;3
ACRE;5150;1
ALAGOAS;5150;1
CEARA;5150;149
DISTRITO FEDERAL;5150;3
ESPIRITO SANTO;5150;5
GOIAS;5150;2
MATO GROSSO DO SUL;5150;2
MINAS GERAIS;5150;14
PARA;5150;1
PARAIBA;5150;4
PARANA;5150;4
PERNAMBUCO;5150;8
PIAUI;5150;7
RIO GRANDE DO NORTE;5150;9
RIO GRANDE DO SUL;5150;28
SANTA CATARINA;5150;7
SAO PAULO;5150;14
ACRE;5169;192
ALAGOAS;5169;30
AMAZONAS;5169;96
AMAPA;5169;43
BAHIA;5169;159
CEARA;5169;137
DISTRITO FEDERAL;5169;280
ESPIRITO SANTO;5169;174
GOIAS;5169;323
MARANHAO;5169;117
MATO GROSSO;5169;150
MATO GROSSO DO SUL;5169;147
MINAS GERAIS;5169;1072
PARA;5169;78
PARAIBA;5169;78
PARANA;5169;580
PERNAMBUCO;5169;178
PIAUI;5169;12
RIO DE JANEIRO;5169;176
RIO GRANDE DO NORTE;5169;34
RIO GRANDE DO SUL;5169;217
RONDONIA;5169;117
RORAIMA;5169;21
SANTA CATARINA;5169;267
SAO PAULO;5169;1132
SERGIPE;5169;35
TOCANTINS;5169;28
ACRE;5177;3
DISTRITO FEDERAL;5177;5
ESPIRITO SANTO;5177;2
MATO GROSSO;5177;2
MATO GROSSO DO SUL;5177;4
MINAS GERAIS;5177;19
PARANA;5177;38
PERNAMBUCO;5177;3
RIO DE JANEIRO;5177;1
RIO GRANDE DO NORTE;5177;1
RIO GRANDE DO SUL;5177;17
SANTA CATARINA;5177;4
SAO PAULO;5177;38
ACRE;5185;164
ALAGOAS;5185;466
AMAZONAS;5185;940
AMAPA;5185;570
BAHIA;5185;3963
CEARA;5185;2220
DISTRITO FEDERAL;5185;5439
ESPIRITO SANTO;5185;566
GOIAS;5185;8452
MARANHAO;5185;1089
MATO GROSSO;5185;2790
MATO GROSSO DO SUL;5185;630
MINAS GERAIS;5185;9612
PARA;5185;1647
PARAIBA;5185;2735
PARANA;5185;7940
PERNAMBUCO;5185;3260
PIAUI;5185;1730
RIO DE JANEIRO;5185;2076
RIO GRANDE DO NORTE;5185;915
RIO GRANDE DO SUL;5185;4707
RONDONIA;5185;851
RORAIMA;5185;1010
SANTA CATARINA;5185;5991
SAO PAULO;5185;40806
SERGIPE;5185;883
TOCANTINS;5185;535
ACRE;5193;22
ALAGOAS;5193;54
AMAZONAS;5193;156
AMAPA;5193;26
BAHIA;5193;225
CEARA;5193;439
DISTRITO FEDERAL;5193;277
ESPIRITO SANTO;5193;57
GOIAS;5193;459
MARANHAO;5193;61
MATO GROSSO;5193;175
MATO GROSSO DO SUL;5193;63
MINAS GERAIS;5193;710
PARA;5193;122
PARAIBA;5193;151
PARANA;5193;773
PERNAMBUCO;5193;307
PIAUI;5193;87
RIO DE JANEIRO;5193;243
RIO GRANDE DO NORTE;5193;44
RIO GRANDE DO SUL;5193;341
RONDONIA;5193;46
RORAIMA;5193;27
SANTA CATARINA;5193;348
SAO PAULO;5193;2514
SERGIPE;5193;31
TOCANTINS;5193;38
ACRE;5207;133
ALAGOAS;5207;87
AMAZONAS;5207;30
AMAPA;5207;8
BAHIA;5207;262
CEARA;5207;277
DISTRITO FEDERAL;5207;594
ESPIRITO SANTO;5207;128
GOIAS;5207;2456
MARANHAO;5207;122
MATO GROSSO;5207;263
MATO GROSSO DO SUL;5207;52
MINAS GERAIS;5207;1730
PARA;5207;106
PARAIBA;5207;291
PARANA;5207;620
PERNAMBUCO;5207;2357
PIAUI;5207;31
RIO DE JANEIRO;5207;175
RIO GRANDE DO NORTE;5207;258
RIO GRANDE DO SUL;5207;666
RONDONIA;5207;51
RORAIMA;5207;86
SANTA CATARINA;5207;789
SAO PAULO;5207;8309
SERGIPE;5207;168
TOCANTINS;5207;41
ACRE;5215;21
ALAGOAS;5215;17
AMAZONAS;5215;31
AMAPA;5215;10
BAHIA;5215;122
CEARA;5215;58
DISTRITO FEDERAL;5215;14
ESPIRITO SANTO;5215;19
GOIAS;5215;98
MARANHAO;5215;16
MATO GROSSO;5215;30
MATO GROSSO DO SUL;5215;13
MINAS GERAIS;5215;368
PARA;5215;31
PARAIBA;5215;59
PARANA;5215;108
PERNAMBUCO;5215;55
PIAUI;5215;7
RIO DE JANEIRO;5215;149
RIO GRANDE DO NORTE;5215;11
RIO GRANDE DO SUL;5215;52
RONDONIA;5215;13
RORAIMA;5215;2
SANTA CATARINA;5215;27
SAO PAULO;5215;1349
SERGIPE;5215;18
TOCANTINS;5215;4
ACRE;5223;1
ALAGOAS;5223;1
BAHIA;5223;2
CEARA;5223;3
ESPIRITO SANTO;5223;2
GOIAS;5223;14
MINAS GERAIS;5223;9
PARA;5223;1
PARAIBA;5223;1
PARANA;5223;1
RIO DE JANEIRO;5223;1
RIO GRANDE DO SUL;5223;4
SANTA CATARINA;5223;4
SAO PAULO;5223;21
ACRE;5231;1
ALAGOAS;5231;6
AMAPA;5231;1
BAHIA;5231;9
CEARA;5231;5
DISTRITO FEDERAL;5231;32
ESPIRITO SANTO;5231;5
GOIAS;5231;58
MARANHAO;5231;2
MATO GROSSO;5231;10
MATO GROSSO DO SUL;5231;5
MINAS GERAIS;5231;50
PARA;5231;5
PARAIBA;5231;2
PARANA;5231;67
PERNAMBUCO;5231;22
PIAUI;5231;3
RIO DE JANEIRO;5231;10
RIO GRANDE DO NORTE;5231;2
RIO GRANDE DO SUL;5231;21
RONDONIA;5231;3
SANTA CATARINA;5231;50
SAO PAULO;5231;366
SERGIPE;5231;6
BAHIA;5240;1
GOIAS;5240;1
MINAS GERAIS;5240;3
PARA;5240;23
PARANA;5240;5
RIO DE JANEIRO;5240;3
RIO GRANDE DO SUL;5240;2
SANTA CATARINA;5240;2
SAO PAULO;5240;47
AMAPA;5258;3
BAHIA;5258;3
DISTRITO FEDERAL;5258;3
ESPIRITO SANTO;5258;3
GOIAS;5258;26
MATO GROSSO;5258;3
MINAS GERAIS;5258;31
PARA;5258;2
PARAIBA;5258;3
PARANA;5258;1
PERNAMBUCO;5258;4
RIO DE JANEIRO;5258;8
RONDONIA;5258;2
RORAIMA;5258;3
SANTA CATARINA;5258;8
SAO PAULO;5258;140
SERGIPE;5258;3
TOCANTINS;5258;1
ALAGOAS;5266;1
BAHIA;5266;2
CEARA;5266;2
GOIAS;5266;2
MATO GROSSO DO SUL;5266;2
MINAS GERAIS;5266;10
PARANA;5266;1
PERNAMBUCO;5266;2
RIO DE JANEIRO;5266;8
RIO GRANDE DO NORTE;5266;1
RIO GRANDE DO SUL;5266;2
SANTA CATARINA;5266;1
SAO PAULO;5266;90
TOCANTINS;5266;1
ACRE;5274;47
ALAGOAS;5274;11
AMAZONAS;5274;13
AMAPA;5274;6
BAHIA;5274;105
CEARA;5274;154
DISTRITO FEDERAL;5274;72
ESPIRITO SANTO;5274;47
GOIAS;5274;341
MARANHAO;5274;91
MATO GROSSO;5274;133
MATO GROSSO DO SUL;5274;39
MINAS GERAIS;5274;483
PARA;5274;40
PARAIBA;5274;48
PARANA;5274;235
PERNAMBUCO;5274;153
PIAUI;5274;6
RIO DE JANEIRO;5274;34
RIO GRANDE DO NORTE;5274;13
RIO GRANDE DO SUL;5274;224
RONDONIA;5274;24
RORAIMA;5274;10
SANTA CATARINA;5274;200
SAO PAULO;5274;1722
SERGIPE;5274;20
TOCANTINS;5274;17
ACRE;5282;5
ALAGOAS;5282;1
AMAZONAS;5282;1
AMAPA;5282;2
BAHIA;5282;1
CEARA;5282;2
DISTRITO FEDERAL;5282;1
ESPIRITO SANTO;5282;11
GOIAS;5282;7
MATO GROSSO;5282;4
MATO GROSSO DO SUL;5282;8
MINAS GERAIS;5282;35
PARA;5282;1
PARANA;5282;13
PERNAMBUCO;5282;3
RIO DE JANEIRO;5282;1
RIO GRANDE DO NORTE;5282;1
RIO GRANDE DO SUL;5282;11
RONDONIA;5282;3
RORAIMA;5282;2
SANTA CATARINA;5282;13
SAO PAULO;5282;15
SERGIPE;5282;1
TOCANTINS;5282;1
AMAPA;5290;1
CEARA;5290;1
DISTRITO FEDERAL;5290;1
ESPIRITO SANTO;5290;2
MATO GROSSO DO SUL;5290;2
MINAS GERAIS;5290;11
PARA;5290;1
PARANA;5290;3
PERNAMBUCO;5290;2
RIO GRANDE DO SUL;5290;2
SANTA CATARINA;5290;7
SAO PAULO;5290;7
ALAGOAS;5304;1
AMAPA;5304;1
ESPIRITO SANTO;5304;2
GOIAS;5304;1
MARANHAO;5304;1
MATO GROSSO;5304;2
MATO GROSSO DO SUL;5304;1
MINAS GERAIS;5304;14
PARAIBA;5304;3
PARANA;5304;3
RIO GRANDE DO NORTE;5304;1
RIO GRANDE DO SUL;5304;3
RORAIMA;5304;1
SANTA CATARINA;5304;8
SAO PAULO;5304;6
MINAS GERAIS;5312;1
RIO GRANDE DO NORTE;5312;1
TOCANTINS;5312;1
ACRE;5320;1
ALAGOAS;5320;1
AMAPA;5320;1
BAHIA;5320;2
CEARA;5320;1
ESPIRITO SANTO;5320;6
GOIAS;5320;2
MATO GROSSO;5320;1
MATO GROSSO DO SUL;5320;8
MINAS GERAIS;5320;22
PARAIBA;5320;1
PARANA;5320;17
PERNAMBUCO;5320;5
RIO DE JANEIRO;5320;1
RIO GRANDE DO NORTE;5320;3
SANTA CATARINA;5320;10
SAO PAULO;5320;10
SAO PAULO;5339;1
ACRE;5347;1
BAHIA;5347;5
CEARA;5347;2
DISTRITO FEDERAL;5347;5
ESPIRITO SANTO;5347;2
GOIAS;5347;5
MATO GROSSO;5347;2
MATO GROSSO DO SUL;5347;1
MINAS GERAIS;5347;18
PARAIBA;5347;1
PARANA;5347;15
PERNAMBUCO;5347;8
RIO DE JANEIRO;5347;1
RIO GRANDE DO NORTE;5347;4
RIO GRANDE DO SUL;5347;17
SANTA CATARINA;5347;13
SAO PAULO;5347;13
SERGIPE;5347;5
TOCANTINS;5347;2
BAHIA;5355;1
GOIAS;5355;1
MATO GROSSO;5355;1
SAO PAULO;5355;2
ALAGOAS;5363;2
BAHIA;5363;6
MINAS GERAIS;5363;2
PARA;5363;4
RIO DE JANEIRO;5363;1
SAO PAULO;5363;4
SERGIPE;5363;1
ALAGOAS;5371;1
AMAZONAS;5371;6
BAHIA;5371;10
CEARA;5371;6
DISTRITO FEDERAL;5371;10
ESPIRITO SANTO;5371;1
GOIAS;5371;10
MARANHAO;5371;4
MATO GROSSO;5371;2
MATO GROSSO DO SUL;5371;1
MINAS GERAIS;5371;37
PARA;5371;3
PARAIBA;5371;1
PARANA;5371;11
PERNAMBUCO;5371;4
RIO DE JANEIRO;5371;3
RIO GRANDE DO NORTE;5371;1
RIO GRANDE DO SUL;5371;9
RONDONIA;5371;1
SANTA CATARINA;5371;6
SAO PAULO;5371;170
SERGIPE;5371;5
ACRE;5380;11
ALAGOAS;5380;131
AMAZONAS;5380;124
AMAPA;5380;13
BAHIA;5380;322
CEARA;5380;607
DISTRITO FEDERAL;5380;263
ESPIRITO SANTO;5380;88
GOIAS;5380;2808
MARANHAO;5380;210
MATO GROSSO;5380;144
MATO GROSSO DO SUL;5380;57
MINAS GERAIS;5380;759
PARA;5380;572
PARAIBA;5380;169
PARANA;5380;426
PERNAMBUCO;5380;425
PIAUI;5380;244
RIO DE JANEIRO;5380;771
RIO GRANDE DO NORTE;5380;204
RIO GRANDE DO SUL;5380;196
RONDONIA;5380;232
RORAIMA;5380;10
SANTA CATARINA;5380;294
SAO PAULO;5380;3217
SERGIPE;5380;348
TOCANTINS;5380;31
ACRE;5398;1
ALAGOAS;5398;3
AMAZONAS;5398;4
BAHIA;5398;22
CEARA;5398;19
DISTRITO FEDERAL;5398;4
ESPIRITO SANTO;5398;7
GOIAS;5398;47
MARANHAO;5398;4
MATO GROSSO;5398;9
MATO GROSSO DO SUL;5398;1
MINAS GERAIS;5398;71
PARA;5398;14
PARAIBA;5398;19
PARANA;5398;30
PERNAMBUCO;5398;9
PIAUI;5398;7
RIO DE JANEIRO;5398;7
RIO GRANDE DO NORTE;5398;1
RIO GRANDE DO SUL;5398;42
RONDONIA;5398;10
RORAIMA;5398;4
SANTA CATARINA;5398;19
SAO PAULO;5398;161
SERGIPE;5398;13
ACRE;5401;4
ALAGOAS;5401;2
AMAZONAS;5401;38
BAHIA;5401;83
CEARA;5401;126
DISTRITO FEDERAL;5401;40
ESPIRITO SANTO;5401;14
GOIAS;5401;70
MARANHAO;5401;47
MATO GROSSO;5401;8
MATO GROSSO DO SUL;5401;8
MINAS GERAIS;5401;122
PARA;5401;87
PARAIBA;5401;71
PARANA;5401;39
PERNAMBUCO;5401;31
PIAUI;5401;33
RIO DE JANEIRO;5401;19
RIO GRANDE DO NORTE;5401;96
RIO GRANDE DO SUL;5401;30
RONDONIA;5401;33
RORAIMA;5401;7
SANTA CATARINA;5401;23
SAO PAULO;5401;347
SERGIPE;5401;61
TOCANTINS;5401;3
ACRE;5410;15
ALAGOAS;5410;11
AMAZONAS;5410;156
AMAPA;5410;12
BAHIA;5410;71
CEARA;5410;121
DISTRITO FEDERAL;5410;600
ESPIRITO SANTO;5410;41
GOIAS;5410;997
MARANHAO;5410;17
MATO GROSSO;5410;91
MATO GROSSO DO SUL;5410;27
MINAS GERAIS;5410;277
PARA;5410;243
PARAIBA;5410;52
PARANA;5410;113
PERNAMBUCO;5410;79
PIAUI;5410;42
RIO DE JANEIRO;5410;146
RIO GRANDE DO NORTE;5410;65
RIO GRANDE DO SUL;5410;48
RONDONIA;5410;34
RORAIMA;5410;31
SANTA CATARINA;5410;102
SAO PAULO;5410;698
SERGIPE;5410;7
TOCANTINS;5410;24
ACRE;5428;3
ALAGOAS;5428;5
AMAPA;5428;52
BAHIA;5428;64
CEARA;5428;61
DISTRITO FEDERAL;5428;89
ESPIRITO SANTO;5428;64
GOIAS;5428;264
MARANHAO;5428;1
MATO GROSSO;5428;27
MATO GROSSO DO SUL;5428;11
MINAS GERAIS;5428;115
PARA;5428;57
PARAIBA;5428;45
PARANA;5428;84
PERNAMBUCO;5428;189
PIAUI;5428;4
RIO DE JANEIRO;5428;42
RIO GRANDE DO NORTE;5428;66
RIO GRANDE DO SUL;5428;33
RONDONIA;5428;9
RORAIMA;5428;2
SANTA CATARINA;5428;85
SAO PAULO;5428;171
SERGIPE;5428;4
TOCANTINS;5428;7
ALAGOAS;5436;1
AMAPA;5436;1
BAHIA;5436;7
ESPIRITO SANTO;5436;1
GOIAS;5436;29
MARANHAO;5436;2
MINAS GERAIS;5436;15
PARA;5436;1
PARANA;5436;4
PERNAMBUCO;5436;1
PIAUI;5436;1
RIO DE JANEIRO;5436;2
RIO GRANDE DO SUL;5436;4
SANTA CATARINA;5436;39
SAO PAULO;5436;66
TOCANTINS;5436;28
ACRE;5444;1
AMAZONAS;5444;4
BAHIA;5444;56
CEARA;5444;65
DISTRITO FEDERAL;5444;129
ESPIRITO SANTO;5444;4
GOIAS;5444;381
MARANHAO;5444;11
MATO GROSSO;5444;33
MATO GROSSO DO SUL;5444;22
MINAS GERAIS;5444;278
PARA;5444;13
PARAIBA;5444;5
PARANA;5444;129
PERNAMBUCO;5444;28
PIAUI;5444;8
RIO DE JANEIRO;5444;20
RIO GRANDE DO NORTE;5444;6
RIO GRANDE DO SUL;5444;158
RONDONIA;5444;6
SANTA CATARINA;5444;332
SAO PAULO;5444;330
TOCANTINS;5444;5
ACRE;5452;199
ALAGOAS;5452;749
AMAZONAS;5452;966
AMAPA;5452;135
BAHIA;5452;2326
CEARA;5452;3057
DISTRITO FEDERAL;5452;1819
ESPIRITO SANTO;5452;891
GOIAS;5452;12891
MARANHAO;5452;953
MATO GROSSO;5452;1065
MATO GROSSO DO SUL;5452;289
MINAS GERAIS;5452;4831
PARA;5452;2644
PARAIBA;5452;1306
PARANA;5452;3797
PERNAMBUCO;5452;4940
PIAUI;5452;831
RIO DE JANEIRO;5452;4310
RIO GRANDE DO NORTE;5452;1022
RIO GRANDE DO SUL;5452;1110
RONDONIA;5452;134
RORAIMA;5452;36
SANTA CATARINA;5452;1736
SAO PAULO;5452;18166
SERGIPE;5452;1190
TOCANTINS;5452;182
ACRE;5460;16
ALAGOAS;5460;52
AMAZONAS;5460;43
AMAPA;5460;14
BAHIA;5460;236
CEARA;5460;99
DISTRITO FEDERAL;5460;66
ESPIRITO SANTO;5460;108
GOIAS;5460;452
MARANHAO;5460;24
MATO GROSSO;5460;82
MATO GROSSO DO SUL;5460;56
MINAS GERAIS;5460;818
PARA;5460;81
PARAIBA;5460;153
PARANA;5460;859
PERNAMBUCO;5460;370
PIAUI;5460;34
RIO DE JANEIRO;5460;269
RIO GRANDE DO NORTE;5460;136
RIO GRANDE DO SUL;5460;332
RONDONIA;5460;23
RORAIMA;5460;8
SANTA CATARINA;5460;371
SAO PAULO;5460;3068
SERGIPE;5460;149
TOCANTINS;5460;13
ACRE;5479;9
ALAGOAS;5479;22
AMAZONAS;5479;120
AMAPA;5479;151
BAHIA;5479;359
CEARA;5479;194
DISTRITO FEDERAL;5479;396
ESPIRITO SANTO;5479;77
GOIAS;5479;149
MARANHAO;5479;89
MATO GROSSO;5479;19
MATO GROSSO DO SUL;5479;26
MINAS GERAIS;5479;204
PARA;5479;38
PARAIBA;5479;185
PARANA;5479;184
PERNAMBUCO;5479;434
PIAUI;5479;53
RIO DE JANEIRO;5479;233
RIO GRANDE DO NORTE;5479;350
RIO GRANDE DO SUL;5479;60
RONDONIA;5479;7
RORAIMA;5479;11
SANTA CATARINA;5479;72
SAO PAULO;5479;274
SERGIPE;5479;117
TOCANTINS;5479;13
ACRE;5487;42
ALAGOAS;5487;70
AMAZONAS;5487;570
AMAPA;5487;159
BAHIA;5487;650
CEARA;5487;811
DISTRITO FEDERAL;5487;187
ESPIRITO SANTO;5487;192
GOIAS;5487;1820
MARANHAO;5487;198
MATO GROSSO;5487;161
MATO GROSSO DO SUL;5487;112
MINAS GERAIS;5487;1306
PARA;5487;1670
PARAIBA;5487;779
PARANA;5487;529
PERNAMBUCO;5487;1106
PIAUI;5487;661
RIO DE JANEIRO;5487;693
RIO GRANDE DO NORTE;5487;371
RIO GRANDE DO SUL;5487;183
RONDONIA;5487;165
RORAIMA;5487;48
SANTA CATARINA;5487;166
SAO PAULO;5487;4128
SERGIPE;5487;297
TOCANTINS;5487;64
AMAZONAS;5495;27
AMAPA;5495;1
BAHIA;5495;4
CEARA;5495;21
DISTRITO FEDERAL;5495;10
ESPIRITO SANTO;5495;30
GOIAS;5495;72
MARANHAO;5495;6
MATO GROSSO;5495;3
MATO GROSSO DO SUL;5495;1
MINAS GERAIS;5495;30
PARA;5495;24
PARAIBA;5495;4
PARANA;5495;20
